ISO;YEAR;BANKING_CRISIS
BEL;1950;
BEL;1951;
BEL;1952;
BEL;1953;
BEL;1954;
BEL;1955;
BEL;1956;
BEL;1957;
BEL;1958;
BEL;1959;
BEL;1960;
BEL;1961;
BEL;1962;
BEL;1963;
BEL;1964;
BEL;1965;
BEL;1966;
BEL;1967;
BEL;1968;
BEL;1969;
BEL;1970;
BEL;1971;
BEL;1972;
BEL;1973;
BEL;1974;0.0
BEL;1975;0.0
BEL;1976;0.0
BEL;1977;0.0
BEL;1978;0.0
BEL;1979;0.0
BEL;1980;0.0
BEL;1981;1.0
BEL;1982;1.0
BEL;1983;0.0
BEL;1984;0.0
BEL;1985;0.0
BEL;1986;0.0
BEL;1987;0.0
BEL;1988;0.0
BEL;1989;0.0
BEL;1990;0.0
BEL;1991;0.0
BEL;1992;0.0
BEL;1993;0.0
BEL;1994;0.0
BEL;1995;0.0
BEL;1996;0.0
BEL;1997;0.0
BEL;1998;0.0
BEL;1999;0.0
BEL;2000;0.0
BEL;2001;0.0
BEL;2002;1.0
BEL;2003;1.0
BEL;2004;1.0
BEL;2005;0.0
BEL;2006;0.0
BEL;2007;0.0
BEL;2008;1.0
BEL;2009;1.0
BEL;2010;1.0
BEL;2011;1.0
BEL;2012;1.0
BEL;2013;1.0
BEL;2014;0.0
BEL;2015;0.0
BEL;2016;0.0
BEL;2017;0.0
BEL;2018;0.0
BEL;2019;0.0
BEL;2020;0.0
BEL;2021;0.0
BEL;2022;0.0
BEL;2023;
BGR;1950;
BGR;1951;
BGR;1952;
BGR;1953;
BGR;1954;
BGR;1955;
BGR;1956;
BGR;1957;
BGR;1958;
BGR;1959;
BGR;1960;
BGR;1961;
BGR;1962;
BGR;1963;
BGR;1964;
BGR;1965;
BGR;1966;
BGR;1967;
BGR;1968;
BGR;1969;
BGR;1970;
BGR;1971;
BGR;1972;
BGR;1973;
BGR;1974;
BGR;1975;
BGR;1976;
BGR;1977;
BGR;1978;
BGR;1979;
BGR;1980;
BGR;1981;
BGR;1982;
BGR;1983;
BGR;1984;
BGR;1985;
BGR;1986;
BGR;1987;
BGR;1988;
BGR;1989;
BGR;1990;
BGR;1991;
BGR;1992;
BGR;1993;
BGR;1994;
BGR;1995;
BGR;1996;
BGR;1997;
BGR;1998;
BGR;1999;
BGR;2000;
BGR;2001;0.0
BGR;2002;0.0
BGR;2003;0.0
BGR;2004;0.0
BGR;2005;0.0
BGR;2006;0.0
BGR;2007;0.0
BGR;2008;1.0
BGR;2009;1.0
BGR;2010;1.0
BGR;2011;1.0
BGR;2012;1.0
BGR;2013;0.0
BGR;2014;0.0
BGR;2015;1.0
BGR;2016;1.0
BGR;2017;0.0
BGR;2018;0.0
BGR;2019;0.0
BGR;2020;1.0
BGR;2021;1.0
BGR;2022;1.0
BGR;2023;
BHR;1950;
BHR;1951;
BHR;1952;
BHR;1953;
BHR;1954;
BHR;1955;
BHR;1956;
BHR;1957;
BHR;1958;
BHR;1959;
BHR;1960;
BHR;1961;
BHR;1962;
BHR;1963;
BHR;1964;
BHR;1965;
BHR;1966;
BHR;1967;
BHR;1968;
BHR;1969;
BHR;1970;
BHR;1971;
BHR;1972;
BHR;1973;
BHR;1974;
BHR;1975;
BHR;1976;
BHR;1977;
BHR;1978;
BHR;1979;
BHR;1980;
BHR;1981;
BHR;1982;
BHR;1983;
BHR;1984;
BHR;1985;
BHR;1986;
BHR;1987;
BHR;1988;
BHR;1989;
BHR;1990;
BHR;1991;
BHR;1992;
BHR;1993;
BHR;1994;
BHR;1995;
BHR;1996;
BHR;1997;
BHR;1998;
BHR;1999;
BHR;2000;
BHR;2001;
BHR;2002;
BHR;2003;
BHR;2004;0.0
BHR;2005;0.0
BHR;2006;0.0
BHR;2007;0.0
BHR;2008;0.0
BHR;2009;1.0
BHR;2010;1.0
BHR;2011;1.0
BHR;2012;1.0
BHR;2013;1.0
BHR;2014;1.0
BHR;2015;0.0
BHR;2016;0.0
BHR;2017;0.0
BHR;2018;0.0
BHR;2019;0.0
BHR;2020;0.0
BHR;2021;0.0
BHR;2022;0.0
BHR;2023;
BRA;1950;
BRA;1951;
BRA;1952;
BRA;1953;
BRA;1954;
BRA;1955;
BRA;1956;
BRA;1957;
BRA;1958;
BRA;1959;
BRA;1960;
BRA;1961;
BRA;1962;
BRA;1963;
BRA;1964;
BRA;1965;
BRA;1966;
BRA;1967;
BRA;1968;
BRA;1969;
BRA;1970;
BRA;1971;
BRA;1972;
BRA;1973;
BRA;1974;
BRA;1975;
BRA;1976;
BRA;1977;
BRA;1978;
BRA;1979;
BRA;1980;
BRA;1981;
BRA;1982;
BRA;1983;
BRA;1984;
BRA;1985;
BRA;1986;
BRA;1987;
BRA;1988;
BRA;1989;
BRA;1990;
BRA;1991;
BRA;1992;
BRA;1993;
BRA;1994;
BRA;1995;0.0
BRA;1996;0.0
BRA;1997;0.0
BRA;1998;1.0
BRA;1999;1.0
BRA;2000;0.0
BRA;2001;0.0
BRA;2002;0.0
BRA;2003;0.0
BRA;2004;0.0
BRA;2005;0.0
BRA;2006;0.0
BRA;2007;0.0
BRA;2008;0.0
BRA;2009;0.0
BRA;2010;0.0
BRA;2011;0.0
BRA;2012;0.0
BRA;2013;0.0
BRA;2014;0.0
BRA;2015;0.0
BRA;2016;0.0
BRA;2017;0.0
BRA;2018;0.0
BRA;2019;0.0
BRA;2020;0.0
BRA;2021;0.0
BRA;2022;0.0
BRA;2023;
CAN;1950;
CAN;1951;
CAN;1952;
CAN;1953;
CAN;1954;
CAN;1955;
CAN;1956;
CAN;1957;
CAN;1958;
CAN;1959;
CAN;1960;
CAN;1961;
CAN;1962;
CAN;1963;
CAN;1964;
CAN;1965;
CAN;1966;
CAN;1967;
CAN;1968;
CAN;1969;
CAN;1970;
CAN;1971;
CAN;1972;
CAN;1973;
CAN;1974;0.0
CAN;1975;0.0
CAN;1976;0.0
CAN;1977;0.0
CAN;1978;0.0
CAN;1979;0.0
CAN;1980;0.0
CAN;1981;0.0
CAN;1982;0.0
CAN;1983;0.0
CAN;1984;0.0
CAN;1985;0.0
CAN;1986;0.0
CAN;1987;0.0
CAN;1988;0.0
CAN;1989;0.0
CAN;1990;0.0
CAN;1991;0.0
CAN;1992;0.0
CAN;1993;0.0
CAN;1994;0.0
CAN;1995;0.0
CAN;1996;0.0
CAN;1997;0.0
CAN;1998;0.0
CAN;1999;0.0
CAN;2000;0.0
CAN;2001;0.0
CAN;2002;0.0
CAN;2003;0.0
CAN;2004;0.0
CAN;2005;0.0
CAN;2006;0.0
CAN;2007;0.0
CAN;2008;0.0
CAN;2009;0.0
CAN;2010;0.0
CAN;2011;0.0
CAN;2012;0.0
CAN;2013;0.0
CAN;2014;0.0
CAN;2015;0.0
CAN;2016;0.0
CAN;2017;0.0
CAN;2018;0.0
CAN;2019;0.0
CAN;2020;0.0
CAN;2021;0.0
CAN;2022;0.0
CAN;2023;
CHE;1950;
CHE;1951;
CHE;1952;
CHE;1953;
CHE;1954;
CHE;1955;
CHE;1956;
CHE;1957;
CHE;1958;
CHE;1959;
CHE;1960;
CHE;1961;
CHE;1962;
CHE;1963;
CHE;1964;
CHE;1965;
CHE;1966;
CHE;1967;
CHE;1968;
CHE;1969;
CHE;1970;
CHE;1971;
CHE;1972;
CHE;1973;
CHE;1974;0.0
CHE;1975;0.0
CHE;1976;0.0
CHE;1977;0.0
CHE;1978;0.0
CHE;1979;0.0
CHE;1980;0.0
CHE;1981;0.0
CHE;1982;0.0
CHE;1983;0.0
CHE;1984;0.0
CHE;1985;0.0
CHE;1986;0.0
CHE;1987;0.0
CHE;1988;1.0
CHE;1989;0.0
CHE;1990;0.0
CHE;1991;0.0
CHE;1992;0.0
CHE;1993;0.0
CHE;1994;0.0
CHE;1995;0.0
CHE;1996;0.0
CHE;1997;0.0
CHE;1998;0.0
CHE;1999;0.0
CHE;2000;0.0
CHE;2001;0.0
CHE;2002;0.0
CHE;2003;0.0
CHE;2004;0.0
CHE;2005;0.0
CHE;2006;0.0
CHE;2007;0.0
CHE;2008;1.0
CHE;2009;1.0
CHE;2010;1.0
CHE;2011;0.0
CHE;2012;1.0
CHE;2013;0.0
CHE;2014;0.0
CHE;2015;0.0
CHE;2016;0.0
CHE;2017;0.0
CHE;2018;0.0
CHE;2019;0.0
CHE;2020;0.0
CHE;2021;0.0
CHE;2022;0.0
CHE;2023;
CHL;1950;
CHL;1951;
CHL;1952;
CHL;1953;
CHL;1954;
CHL;1955;
CHL;1956;
CHL;1957;
CHL;1958;
CHL;1959;
CHL;1960;
CHL;1961;
CHL;1962;
CHL;1963;
CHL;1964;
CHL;1965;
CHL;1966;
CHL;1967;
CHL;1968;
CHL;1969;
CHL;1970;
CHL;1971;
CHL;1972;
CHL;1973;
CHL;1974;
CHL;1975;
CHL;1976;
CHL;1977;
CHL;1978;
CHL;1979;
CHL;1980;
CHL;1981;
CHL;1982;
CHL;1983;
CHL;1984;
CHL;1985;
CHL;1986;
CHL;1987;
CHL;1988;
CHL;1989;
CHL;1990;0.0
CHL;1991;0.0
CHL;1992;0.0
CHL;1993;0.0
CHL;1994;0.0
CHL;1995;0.0
CHL;1996;0.0
CHL;1997;0.0
CHL;1998;1.0
CHL;1999;0.0
CHL;2000;0.0
CHL;2001;0.0
CHL;2002;0.0
CHL;2003;0.0
CHL;2004;0.0
CHL;2005;0.0
CHL;2006;0.0
CHL;2007;0.0
CHL;2008;0.0
CHL;2009;0.0
CHL;2010;0.0
CHL;2011;0.0
CHL;2012;0.0
CHL;2013;0.0
CHL;2014;0.0
CHL;2015;0.0
CHL;2016;0.0
CHL;2017;0.0
CHL;2018;0.0
CHL;2019;0.0
CHL;2020;0.0
CHL;2021;0.0
CHL;2022;0.0
CHL;2023;
CHN;1950;
CHN;1951;
CHN;1952;
CHN;1953;
CHN;1954;
CHN;1955;
CHN;1956;
CHN;1957;
CHN;1958;
CHN;1959;
CHN;1960;
CHN;1961;
CHN;1962;
CHN;1963;
CHN;1964;
CHN;1965;
CHN;1966;
CHN;1967;
CHN;1968;
CHN;1969;
CHN;1970;
CHN;1971;
CHN;1972;
CHN;1973;
CHN;1974;
CHN;1975;
CHN;1976;
CHN;1977;
CHN;1978;
CHN;1979;
CHN;1980;
CHN;1981;
CHN;1982;
CHN;1983;
CHN;1984;
CHN;1985;
CHN;1986;
CHN;1987;
CHN;1988;
CHN;1989;
CHN;1990;
CHN;1991;
CHN;1992;0.0
CHN;1993;0.0
CHN;1994;1.0
CHN;1995;1.0
CHN;1996;0.0
CHN;1997;0.0
CHN;1998;0.0
CHN;1999;0.0
CHN;2000;0.0
CHN;2001;0.0
CHN;2002;0.0
CHN;2003;0.0
CHN;2004;0.0
CHN;2005;0.0
CHN;2006;0.0
CHN;2007;0.0
CHN;2008;0.0
CHN;2009;0.0
CHN;2010;0.0
CHN;2011;1.0
CHN;2012;1.0
CHN;2013;1.0
CHN;2014;0.0
CHN;2015;0.0
CHN;2016;0.0
CHN;2017;0.0
CHN;2018;0.0
CHN;2019;0.0
CHN;2020;0.0
CHN;2021;0.0
CHN;2022;0.0
CHN;2023;
COL;1950;
COL;1951;
COL;1952;
COL;1953;
COL;1954;
COL;1955;
COL;1956;
COL;1957;
COL;1958;
COL;1959;
COL;1960;
COL;1961;
COL;1962;
COL;1963;
COL;1964;
COL;1965;
COL;1966;
COL;1967;
COL;1968;
COL;1969;
COL;1970;
COL;1971;
COL;1972;
COL;1973;
COL;1974;
COL;1975;
COL;1976;
COL;1977;
COL;1978;
COL;1979;
COL;1980;
COL;1981;
