ISO;YEAR;crisis_FR;crisis_EMP
ABW;1977Q4;;
ABW;1978Q1;;
ABW;1978Q2;;
ABW;1978Q3;;
ABW;1978Q4;;
ABW;1979Q1;;
ABW;1979Q2;;
ABW;1979Q3;;
ABW;1979Q4;;
ABW;1980Q1;;
ABW;1980Q2;;
ABW;1980Q3;;
ABW;1980Q4;;
ABW;1981Q1;;
ABW;1981Q2;;
ABW;1981Q3;;
ABW;1981Q4;;
ABW;1982Q1;;
ABW;1982Q2;;
ABW;1982Q3;;
ABW;1982Q4;;
ABW;1983Q1;;
ABW;1983Q2;;
ABW;1983Q3;;
ABW;1983Q4;;
ABW;1984Q1;;
ABW;1984Q2;;
ABW;1984Q3;;
ABW;1984Q4;;
ABW;1985Q1;;
ABW;1985Q2;;
ABW;1985Q3;;
ABW;1985Q4;;
ABW;1986Q1;;
ABW;1986Q2;;
ABW;1986Q3;;
ABW;1986Q4;;
ABW;1987Q1;;
ABW;1987Q2;;
ABW;1987Q3;;
ABW;1987Q4;;
ABW;1988Q1;0.0;
ABW;1988Q2;0.0;
ABW;1988Q3;0.0;
ABW;1988Q4;0.0;
ABW;1989Q1;0.0;
ABW;1989Q2;0.0;
ABW;1989Q3;0.0;
ABW;1989Q4;0.0;
ABW;1990Q1;0.0;
ABW;1990Q2;0.0;
ABW;1990Q3;0.0;
ABW;1990Q4;0.0;
ABW;1991Q1;0.0;
ABW;1991Q2;0.0;
ABW;1991Q3;0.0;
ABW;1991Q4;0.0;
ABW;1992Q1;0.0;
ABW;1992Q2;0.0;
ABW;1992Q3;0.0;
ABW;1992Q4;0.0;
ABW;1993Q1;0.0;
ABW;1993Q2;0.0;
ABW;1993Q3;0.0;
ABW;1993Q4;0.0;
ABW;1994Q1;0.0;
ABW;1994Q2;0.0;
ABW;1994Q3;0.0;
ABW;1994Q4;0.0;
ABW;1995Q1;0.0;
ABW;1995Q2;0.0;
ABW;1995Q3;0.0;
ABW;1995Q4;0.0;
ABW;1996Q1;0.0;
ABW;1996Q2;0.0;
ABW;1996Q3;0.0;
ABW;1996Q4;0.0;
ABW;1997Q1;0.0;
ABW;1997Q2;0.0;
ABW;1997Q3;0.0;
ABW;1997Q4;0.0;
ABW;1998Q1;0.0;
ABW;1998Q2;0.0;
ABW;1998Q3;0.0;
ABW;1998Q4;0.0;
ABW;1999Q1;0.0;
ABW;1999Q2;0.0;
ABW;1999Q3;0.0;
ABW;1999Q4;0.0;
ABW;2000Q1;0.0;
ABW;2000Q2;0.0;
ABW;2000Q3;0.0;
ABW;2000Q4;0.0;
ABW;2001Q1;0.0;
ABW;2001Q2;0.0;
ABW;2001Q3;0.0;
ABW;2001Q4;0.0;
ABW;2002Q1;0.0;
ABW;2002Q2;0.0;
ABW;2002Q3;0.0;
ABW;2002Q4;0.0;
ABW;2003Q1;0.0;
ABW;2003Q2;0.0;
ABW;2003Q3;0.0;
ABW;2003Q4;0.0;
ABW;2004Q1;0.0;
ABW;2004Q2;0.0;
ABW;2004Q3;0.0;
ABW;2004Q4;0.0;
ABW;2005Q1;0.0;
ABW;2005Q2;0.0;
ABW;2005Q3;0.0;
ABW;2005Q4;0.0;
ABW;2006Q1;0.0;
ABW;2006Q2;0.0;
ABW;2006Q3;0.0;
ABW;2006Q4;0.0;
ABW;2007Q1;0.0;
ABW;2007Q2;0.0;
ABW;2007Q3;0.0;
ABW;2007Q4;0.0;
ABW;2008Q1;0.0;
ABW;2008Q2;0.0;
ABW;2008Q3;0.0;
ABW;2008Q4;0.0;
ABW;2009Q1;0.0;
ABW;2009Q2;0.0;
ABW;2009Q3;0.0;
ABW;2009Q4;0.0;
ABW;2010Q1;0.0;
ABW;2010Q2;0.0;
ABW;2010Q3;0.0;
ABW;2010Q4;0.0;
ABW;2011Q1;0.0;
ABW;2011Q2;0.0;
ABW;2011Q3;0.0;
ABW;2011Q4;0.0;
ABW;2012Q1;0.0;
ABW;2012Q2;0.0;
ABW;2012Q3;0.0;
ABW;2012Q4;0.0;
ABW;2013Q1;0.0;
ABW;2013Q2;0.0;
ABW;2013Q3;0.0;
ABW;2013Q4;0.0;
ABW;2014Q1;0.0;
ABW;2014Q2;0.0;
ABW;2014Q3;0.0;
ABW;2014Q4;0.0;
ABW;2015Q1;0.0;
ABW;2015Q2;0.0;
ABW;2015Q3;0.0;
ABW;2015Q4;0.0;
ABW;2016Q1;0.0;
ABW;2016Q2;0.0;
ABW;2016Q3;0.0;
ABW;2016Q4;0.0;
ABW;2017Q1;0.0;
ABW;2017Q2;0.0;
ABW;2017Q3;0.0;
ABW;2017Q4;0.0;
ABW;2018Q1;0.0;
ABW;2018Q2;0.0;
ABW;2018Q3;0.0;
ABW;2018Q4;0.0;
ABW;2019Q1;0.0;
ABW;2019Q2;0.0;
ABW;2019Q3;0.0;
ABW;2019Q4;0.0;
ABW;2020Q1;0.0;
ABW;2020Q2;0.0;
ABW;2020Q3;0.0;
ABW;2020Q4;0.0;
ABW;2021Q1;0.0;
ABW;2021Q2;0.0;
ABW;2021Q3;0.0;
ABW;2021Q4;0.0;
ABW;2022Q1;0.0;
ABW;2022Q2;0.0;
ABW;2022Q3;0.0;
ABW;2022Q4;;
AFG;1920Q1;;
AFG;1920Q2;;
AFG;1920Q3;;
AFG;1920Q4;;
AFG;1921Q1;;
AFG;1921Q2;;
AFG;1921Q3;;
AFG;1921Q4;;
AFG;1922Q1;;
AFG;1922Q2;;
AFG;1922Q3;;
AFG;1922Q4;;
AFG;1923Q1;;
AFG;1923Q2;;
AFG;1923Q3;;
AFG;1923Q4;;
AFG;1924Q1;;
AFG;1924Q2;;
AFG;1924Q3;;
AFG;1924Q4;;
AFG;1925Q1;;
AFG;1925Q2;;
AFG;1925Q3;;
AFG;1925Q4;;
AFG;1926Q1;;
AFG;1926Q2;;
AFG;1926Q3;;
AFG;1926Q4;;
AFG;1927Q1;;
AFG;1927Q2;;
AFG;1927Q3;;
AFG;1927Q4;;
AFG;1928Q1;;
AFG;1928Q2;;
AFG;1928Q3;;
AFG;1928Q4;;
AFG;1929Q1;;
AFG;1929Q2;;
AFG;1929Q3;;
AFG;1929Q4;;
AFG;1930Q1;;
AFG;1930Q2;;
AFG;1930Q3;;
AFG;1930Q4;;
AFG;1931Q1;;
AFG;1931Q2;;
AFG;1931Q3;;
AFG;1931Q4;;
AFG;1932Q1;;
AFG;1932Q2;;
AFG;1932Q3;;
AFG;1932Q4;;
AFG;1933Q1;;
AFG;1933Q2;;
AFG;1933Q3;;
AFG;1933Q4;;
AFG;1934Q1;;
AFG;1934Q2;;
AFG;1934Q3;;
AFG;1934Q4;;
AFG;1935Q1;;
AFG;1935Q2;;
AFG;1935Q3;;
AFG;1935Q4;;
AFG;1936Q1;;
AFG;1936Q2;;
AFG;1936Q3;;
AFG;1936Q4;;
AFG;1937Q1;;
AFG;1937Q2;;
AFG;1937Q3;;
AFG;1937Q4;;
AFG;1938Q1;;
AFG;1938Q2;;
AFG;1938Q3;;
AFG;1938Q4;;
AFG;1939Q1;;
AFG;1939Q2;;
AFG;1939Q3;;
AFG;1939Q4;;
AFG;1940Q1;;
AFG;1940Q2;;
AFG;1940Q3;;
AFG;1940Q4;;
AFG;1941Q1;;
AFG;1941Q2;;
AFG;1941Q3;;
AFG;1941Q4;;
AFG;1942Q1;;
AFG;1942Q2;;
AFG;1942Q3;;
AFG;1942Q4;;
AFG;1943Q1;;
AFG;1943Q2;;
AFG;1943Q3;;
AFG;1943Q4;;
AFG;1944Q1;;
AFG;1944Q2;;
AFG;1944Q3;;
AFG;1944Q4;;
AFG;1945Q1;;
AFG;1945Q2;;
AFG;1945Q3;;
AFG;1945Q4;;
AFG;1946Q1;;
AFG;1946Q2;;
AFG;1946Q3;;
AFG;1946Q4;;
AFG;1947Q1;;
AFG;1947Q2;;
AFG;1947Q3;;
AFG;1947Q4;;
AFG;1948Q1;;
AFG;1948Q2;;
AFG;1948Q3;;
AFG;1948Q4;;
AFG;1949Q1;;
AFG;1949Q2;;
AFG;1949Q3;;
AFG;1949Q4;;
AFG;1950Q1;;
AFG;1950Q2;;
AFG;1950Q3;;
AFG;1950Q4;;
AFG;1951Q1;;
AFG;1951Q2;;
AFG;1951Q3;;
AFG;1951Q4;;
AFG;1952Q1;;
AFG;1952Q2;;
AFG;1952Q3;;
AFG;1952Q4;;
AFG;1953Q1;;
AFG;1953Q2;;
AFG;1953Q3;;
AFG;1953Q4;;
AFG;1954Q1;;
AFG;1954Q2;;
AFG;1954Q3;;
AFG;1954Q4;;
AFG;1955Q1;;
AFG;1955Q2;;
AFG;1955Q3;;
AFG;1955Q4;;
AFG;1956Q1;;
AFG;1956Q2;;
AFG;1956Q3;;
AFG;1956Q4;;
AFG;1957Q1;0.0;
AFG;1957Q2;0.0;
AFG;1957Q3;0.0;
AFG;1957Q4;0.0;
AFG;1958Q1;0.0;
AFG;1958Q2;0.0;
AFG;1958Q3;0.0;
AFG;1958Q4;0.0;
AFG;1959Q1;0.0;
AFG;1959Q2;0.0;
AFG;1959Q3;0.0;
AFG;1959Q4;0.0;
AFG;1960Q1;0.0;
AFG;1960Q2;0.0;
AFG;1960Q3;0.0;
AFG;1960Q4;0.0;
AFG;1961Q1;0.0;
AFG;1961Q2;0.0;
AFG;1961Q3;0.0;
AFG;1961Q4;0.0;
AFG;1962Q1;0.0;
AFG;1962Q2;0.0;
AFG;1962Q3;0.0;
AFG;1962Q4;0.0;
AFG;1963Q1;1.0;
AFG;1963Q2;1.0;
AFG;1963Q3;1.0;
AFG;1963Q4;1.0;
AFG;1964Q1;1.0;
AFG;1964Q2;0.0;
AFG;1964Q3;0.0;
AFG;1964Q4;0.0;
AFG;1965Q1;0.0;
AFG;1965Q2;0.0;
AFG;1965Q3;0.0;
AFG;1965Q4;0.0;
AFG;1966Q1;0.0;
AFG;1966Q2;0.0;
AFG;1966Q3;0.0;
AFG;1966Q4;0.0;
AFG;1967Q1;0.0;
AFG;1967Q2;0.0;
AFG;1967Q3;0.0;
AFG;1967Q4;0.0;
AFG;1968Q1;0.0;
AFG;1968Q2;0.0;
AFG;1968Q3;0.0;
AFG;1968Q4;0.0;
AFG;1969Q1;0.0;
AFG;1969Q2;0.0;
AFG;1969Q3;0.0;
AFG;1969Q4;0.0;
AFG;1970Q1;0.0;
AFG;1970Q2;0.0;
AFG;1970Q3;0.0;
AFG;1970Q4;0.0;
AFG;1971Q1;0.0;
AFG;1971Q2;0.0;
AFG;1971Q3;0.0;
AFG;1971Q4;0.0;
AFG;1972Q1;0.0;
AFG;1972Q2;0.0;
AFG;1972Q3;0.0;
AFG;1972Q4;0.0;
AFG;1973Q1;0.0;
AFG;1973Q2;0.0;
AFG;1973Q3;0.0;
AFG;1973Q4;0.0;
AFG;1974Q1;0.0;
AFG;1974Q2;0.0;
AFG;1974Q3;0.0;
AFG;1974Q4;0.0;
AFG;1975Q1;0.0;
AFG;1975Q2;0.0;
AFG;1975Q3;0.0;
AFG;1975Q4;0.0;
AFG;1976Q1;0.0;
AFG;1976Q2;0.0;
AFG;1976Q3;0.0;
AFG;1976Q4;0.0;
AFG;1977Q1;0.0;
AFG;1977Q2;0.0;
AFG;1977Q3;0.0;
AFG;1977Q4;0.0;
AFG;1978Q1;0.0;
AFG;1978Q2;0.0;
AFG;1978Q3;0.0;
AFG;1978Q4;0.0;
AFG;1979Q1;0.0;
AFG;1979Q2;0.0;
AFG;1979Q3;0.0;
AFG;1979Q4;0.0;
AFG;1980Q1;0.0;
AFG;1980Q2;0.0;
AFG;1980Q3;0.0;
AFG;1980Q4;0.0;
AFG;1981Q1;0.0;
AFG;1981Q2;0.0;
AFG;1981Q3;0.0;
AFG;1981Q4;0.0;
AFG;1982Q1;0.0;
AFG;1982Q2;0.0;
AFG;1982Q3;0.0;
AFG;1982Q4;0.0;
AFG;1983Q1;0.0;
AFG;1983Q2;0.0;
